SITE_UPRN,SITE_NAME,PRIMARY_ADDRESS,STREET,LOCALITY,TOWN,COUNTY,POSTCODE,GIA,EASTING,NORTHING,PARISH,DISTRICT,SUBCLIENT,SITESTATUS,SITEFUNCTIONDETAIL 
100202,SOUTH DARTMOOR COMMUNITY COLLEGE-PLACE HOUSE SIXTH FORM SITE,,BALLAND LANE,,ASHBURTON,DEVON,TQ13 7EW,960.00,276432.00,70953.00,Ashburton CP,TEIGNBRIDGE,Education Schools,Academy,Secondary school - Foundation
100203,SOUTH DARTMOOR COMMUNITY COLLEGE-CRICKET GROUND PLAYING FIELDS,,BALLAND LANE,,ASHBURTON,DEVON,TQ13 7EW,0,276609.00,70837.00,Ashburton CP,TEIGNBRIDGE,Education Schools,Academy,Secondary school - Foundation
100301,KING EDWARD VI COMMUNITY COLLEGE-UPPER SCHOOL & KENNICOTT HOUSE,,ASHBURTON ROAD,,TOTNES,DEVON,TQ9  5JX,12743.70,279657.00,61089.00,Totnes CP,SOUTH HAMS,Education Schools,Trust School,Secondary school
100302,KING EDWARD VI COMMUNITY COLLEGE-LOWER SCHOOL,,ASHBURTON ROAD,,TOTNES,DEVON,TQ9  5JX,2585.50,279965.00,61124.00,Totnes CP,SOUTH HAMS,Education Schools,Trust School,Secondary school
100401,KINGSBRIDGE COMMUNITY COLLEGE-UPPER SCHOOL SITE WESTVILLE,,BALKWILL ROAD,,KINGSBRIDGE,DEVON,TQ7  1PL,11168.60,273124.00,43855.00,Kingsbridge CP,SOUTH HAMS,Education Schools,Academy,Secondary school
100403,KINGSBRIDGE COMMUNITY COLLEGE-BELLE HILL PLAYING FIELD,,BALKWILL ROAD,,KINGSBRIDGE,DEVON,TQ7  1PL,144.00,274297.00,45351.00,Kingsbridge CP,SOUTH HAMS,Education Schools,Academy,Secondary school
100404,KINGSBRIDGE COMMUNITY COLLEGE-LAND FOR SPORTS FIELD WEST ALVINGTON HILL,,BALKWILL ROAD,,KINGSBRIDGE,DEVON,TQ7  1PL,,272710.00,44006.00,West Alvington CP,SOUTH HAMS,Education Schools,Academy,Secondary school
100501,NEWTON ABBOT COLLEGE-MAIN OLD EXETER ROAD UPPER SITE,,OLD EXETER ROAD,,NEWTON ABBOT,DEVON,TQ12 2NF,5031.60,285743.00,71671.00,Newton Abbot CP,TEIGNBRIDGE,Education Schools,Academy,Secondary school - Foundation
100502,NEWTON ABBOT COLLEGE-EXETER ROAD LOWER SCHOOL SITE (PART OF DYRONS),,OLD EXETER ROAD,,NEWTON ABBOT,DEVON,TQ12 2NF,4682.00,285515.00,71643.00,Newton Abbot CP,TEIGNBRIDGE,Education Schools,Academy,Secondary school - Foundation
100503,NEWTON ABBOT COLLEGE-FORCHES CROSS PLAYING FIELDS,,OLD EXETER ROAD,,NEWTON ABBOT,DEVON,TQ12 2NF,162.00,284425.00,73232.00,Teigngrace CP,TEIGNBRIDGE,Education Schools,Academy,Secondary school - Foundation
100504,NEWTON ABBOT COLLEGE-NEWTON ABBOT LEISURE CENTRE ACCOMODATION,,OLD EXETER ROAD,,NEWTON ABBOT,DEVON,TQ12 2NF,1681.00,285445.00,71636.00,Newton Abbot CP,TEIGNBRIDGE,Education Schools,Academy,Secondary school - Foundation
100601,COOMBESHEAD COLLEGE-UPPER SCHOOL SITE COOMBESHEAD ROAD,,COOMBESHEAD ROAD,,NEWTON ABBOT,DEVON,TQ12 1PT,11508.40,285339.00,71796.00,Newton Abbot CP,TEIGNBRIDGE,Education Schools,Academy,Secondary school - Foundation
100602,LAND AT FORMER COOMBESHEAD COLLEGE-LOWER SCHOOL SITE RETAINED BY DCC,,COOMBESHEAD ROAD,,NEWTON ABBOT,DEVON,TQ12 1PT,,285410.00,71464.00,Newton Abbot CP,TEIGNBRIDGE,Education Administration,Freehold,Property for redevelopment
100605,COOMBESHEAD COLLEGE-FORCHESS CROSS PLAYING FIELD,,COOMBESHEAD ROAD,,NEWTON ABBOT,DEVON,TQ12 1PT,,284637.00,73075.00,Newton Abbot CP,TEIGNBRIDGE,Education Schools,Academy,Secondary school - Foundation
100606,COOMBESHEAD COLLEGE-COLLEGE HOUSE SIXTH FORM CENTRE,,COOMBESHEAD ROAD,,NEWTON ABBOT,DEVON,TQ12 1PT,1283.70,285139.00,71529.00,Newton Abbot CP,TEIGNBRIDGE,Education Schools,Academy,Secondary school - Foundation
101401,TEIGNMOUTH COMMUNITY COLLEGE-MAIN SCHOOL AND WEST LAWN SITE,,EXETER ROAD,,TEIGNMOUTH,DEVON,TQ14 9HZ,11319.00,293817.00,73475.00,Teignmouth CP,TEIGNBRIDGE,Education Schools,Academy,Secondary school
101402,TEIGNMOUTH COMMUNITY COLLEGE-RESERVOIR SPORTS FIELD SITE,,EXETER ROAD,,TEIGNMOUTH,DEVON,TQ14 9HZ,,293703.00,74583.00,Teignmouth CP,TEIGNBRIDGE,Education Schools,Academy,Secondary school
104501,TAVISTOCK COLLEGE,,CROWNDALE ROAD,,TAVISTOCK,DEVON,PL19 8DD,16806.10,247483.00,73504.00,Tavistock CP,WEST DEVON,Education Schools,Trust School,Secondary school
104601,OKEHAMPTON COLLEGE,,MILL ROAD,,OKEHAMPTON,DEVON,EX20 1PW,14497.60,259224.00,94729.00,Okehampton CP,WEST DEVON,Education Schools,Trust School,Secondary school
104701,IVYBRIDGE COMMUNITY COLLEGE-MAIN SCHOOL SITE,,HARFORD ROAD,,IVYBRIDGE,DEVON,PL21 0JA,19516.30,263926.00,56561.00,Ivybridge CP,SOUTH HAMS,Education Schools,Academy,Secondary school
104702,IVYBRIDGE COMMUNITY COLLEGE-COACH PARK,,HARFORD ROAD,,IVYBRIDGE,DEVON,PL21 0JA,,264072.00,56371.00,Ivybridge CP,SOUTH HAMS,Education Schools,Academy,Secondary school
104703,IVYBRIDGE COMMUNITY COLLEGE-FILHAM PLAYING FIELD,,HARFORD ROAD,,IVYBRIDGE,DEVON,PL21 0JA,,264935.00,56294.00,Ivybridge CP,SOUTH HAMS,Education Schools,Academy,Secondary school
104704,IVYBRIDGE COMMUNITY COLLEGE-GREENDOWN FARM CAMPING FIELD,,HARFORD ROAD,,IVYBRIDGE,DEVON,PL21 0JA,,270413.00,66240.00,,SOUTH HAMS,Education Schools,Freehold but entirely leased off by others,Secondary school
104901,FORMER RINGSWELL OFFICES,,RINGSWELL AVENUE,,EXETER,DEVON,EX1  3EG,3655.00,295205.00,92607.00,Exeter,EXETER,Education Administration,Freehold,Surplus property / land
114301,FORMER AXMINSTER MAGISTRATES COURT,,LYME ROAD,,AXMINSTER,DEVON,EX13 5BA,181.00,330028.00,98412.00,Axminster CP,EAST DEVON,Surplus property / land,Freehold,Surplus 12 months
114801,AXMINSTER LIBRARY,,SOUTH STREET,,AXMINSTER,DEVON,EX13 5AD,109.00,329803.00,98491.00,Axminster CP,EAST DEVON,Library & Information Services,Freehold,Library
114901,BOVEY TRACEY LIBRARY,,ABBEY ROAD,,BOVEY TRACEY,DEVON,TQ13 9HZ,93.00,281475.00,78492.00,Bovey Tracey CP,TEIGNBRIDGE,Library & Information Services,Freehold,Library
115001,KINGSBRIDGE LIBRARY,,ILBERT ROAD,THE QUAY,KINGSBRIDGE,DEVON,TQ7  1EB,266.00,273457.00,44029.00,Kingsbridge CP,SOUTH HAMS,Library & Information Services,Leasehold,Library
115401,LAND TO THE REAR OF WILLOW HOUSE MALBOROUGH,,SALCOMBE ROAD,MALBOROUGH,KINGSBRIDGE,DEVON,TQ7  3BX,,271124.00,39734.00,,SOUTH HAMS,Education Administration,Freehold,Held for future development
116301,OKEHAMPTON LIBRARY,4,NORTH STREET,,OKEHAMPTON,DEVON,EX20 1AR,307.00,258897.00,95286.00,Okehampton CP,WEST DEVON,Library & Information Services,Freehold,Library
116401,RYDON QUARRY SALT DEPOT,,RYDON ROAD,KINGSTEIGNTON,NEWTON ABBOT,DEVON,TQ12 3QG,1746.00,287441.00,73959.00,Kingsteignton CP,TEIGNBRIDGE,Highway Management,Freehold,Highways and bridges depot
119201,COUNTY HALL,,TOPSHAM ROAD,,EXETER,DEVON,EX2  4QD,23479.40,292938.00,91672.00,,EXETER,Corporate,Freehold,Offices
119301,LAND AT KNOWSTONE,,,KNOWSTONE,SOUTH MOLTON,DEVON,EX36 4RY,,283277.00,121772.00,Knowstone CP,NORTH DEVON,County Farms estate,Freehold,Small holding land and barns
119501,LAND REMAINING AT LITTLE BICKINGTON FARM,,,HIGH BICKINGTON,UMBERLEIGH,DEVON,EX37 9AY,,260065.00,120220.00,High Bickington CP,TORRIDGE,County Farms estate,Freehold,Held for an agreed Community use
119601,NUNFORD FARM,,KINGSDOWN HILL,,COLYTON,DEVON,EX24 6EZ,0,325858.00,94244.00,Colyton CP,EAST DEVON,County Farms estate,Freehold,Small holding - Residential
119701,PERRITON BARTON,,,WHIMPLE,EXETER,DEVON,EX5  2QG,0,305187.00,98028.00,Whimple CP,EAST DEVON,County Farms estate,Freehold,Small holding - Residential
120601,TAVISTOCK DISTRICT SOCIAL SERVICES OFFICES,,WHITCHURCH ROAD,,TAVISTOCK,DEVON,PL19 9AS,998.00,248189.00,74173.00,Tavistock CP,WEST DEVON,Finance & Business Support,Freehold,Offices
121101,ARTHUR ROBERTS HOME AND DAY CENTRE,121,BURNTHOUSE LANE,,EXETER,DEVON,EX2  6NB,1113.00,294139.00,91524.00,Exeter,EXETER,Older People & Physical Disability,Freehold,Home for older persons
123201,EXMOUTH BRANCH LIBRARY,40,EXETER ROAD,,EXMOUTH,DEVON,EX8  1PS,522.00,300288.00,81184.00,Exmouth CP,EAST DEVON,Library & Information Services,Freehold,Library
123701,TOPSHAM LIBRARY,,,"NELSON CLOSE, TOPSHAM",EXETER,DEVON,EX3  0DX,136.00,296402.00,88390.00,Exeter,EXETER,Library & Information Services,Freehold,Library
123901,FORMER EAST HILL FARM,,,EAST KNOWSTONE,SOUTH MOLTON,DEVON,EX36 4DZ,0,282409.00,122902.00,Knowstone CP,NORTH DEVON,County Farms estate,Freehold,Surplus 5 years
124401,TEIGNMOUTH DAY CARE CENTRE,,SALISBURY TERRACE,,TEIGNMOUTH,DEVON,TQ14 8JG,372.00,294058.00,73147.00,,TEIGNBRIDGE,Older People & Physical Disability,Leasehold,Day centre for older people
124601,BLOSSOM CORNER,,ELIZABETH AVENUE,,EXETER,DEVON,EX4  7EH,302.00,293357.00,93936.00,Exeter,EXETER,Childrens Services,Freehold,Childrens community home
125201,THE LAMPARD SCHOOL,,ST JOHNS LANE,,BARNSTAPLE,DEVON,EX32 9DD,2436.00,257101.00,132185.00,Barnstaple CP,NORTH DEVON,Education Schools,Trust School,Special school
125501,CORDWENTS FARM-MAIN FARM SITE,,CROWN HILL,HALBERTON,TIVERTON,DEVON,EX16 7AY,0,300090.00,112816.00,Halberton CP,MID DEVON,County Farms estate,Freehold,Small holding - bare land
125502,CORDWENTS FARM-GARDEN LET TO MISS CHAPMAN,,CROWN HILL,HALBERTON,TIVERTON,DEVON,EX16 7AY,,300411.00,112735.00,Halberton CP,MID DEVON,County Farms estate,Freehold,Small holding - bare land
125503,CORDWENTS FARM-TWO PLOTS OF LAND LET FOR GARDEN USE,,CROWN HILL,HALBERTON,TIVERTON,DEVON,EX16 7AY,,300361.00,112702.00,Halberton CP,MID DEVON,County Farms estate,Freehold,Small holding - bare land
125504,CORDWENTS FARM-LOWER TOWN PLAYING FIELD,,CROWN HILL,HALBERTON,TIVERTON,DEVON,EX16 7AY,,300416.00,112798.00,Halberton CP,MID DEVON,County Farms estate,Freehold,Small holding - bare land
125701,HOLLIS FARM - 1,,,"BLACKBOROUGH, KENTISBEARE",CULLOMPTON,DEVON,EX15 2HQ,,308174.00,108102.00,Kentisbeare CP,MID DEVON,County Farms estate,Freehold,Small holding - bare land
125901,LOWER CHITTERLEY FARM - 2-MAIN FARM SITE,,,SILVERTON,EXETER,DEVON,EX5  4BP,0,294136.00,104293.00,Bickleigh (Mid Devon) CP,MID DEVON,County Farms estate,Freehold,Small holding - Residential
125902,LOWER CHITTERLEY FARM - 2-LOWER DORWEEKE SITE,,,SILVERTON,EXETER,DEVON,EX5  4BP,,295132.00,106124.00,Silverton CP,MID DEVON,County Farms estate,Freehold,Small holding - Residential
126201,WATERFORD FARM,,,MUSBURY,AXMINSTER,DEVON,EX13 7AN,0,326359.00,94997.00,Musbury CP,EAST DEVON,County Farms estate,Freehold,Small holding - Residential
126601,SIDMOUTH LIBRARY,,,BLACKMORE DRIVE,SIDMOUTH,DEVON,EX10 8LA,373.00,312599.00,87565.00,Sidmouth CP,EAST DEVON,Library & Information Services,Freehold,Library
127001,BUTTERPARK RESIDENTIAL HOME,,BROOK ROAD,,IVYBRIDGE,DEVON,PL21 0AX,1353.00,263868.00,56225.00,Ivybridge CP,SOUTH HAMS,Older People & Physical Disability,Freehold,Home for older persons
166901,DARTMOOR TRAINING CENTRE,,TWO BRIDGES,PRINCETOWN,YELVERTON,DEVON,PL20 6SA,533.00,262696.00,73899.00,Dartmoor Forest CP,WEST DEVON,Education Administration,Leasehold but entirely leased off by others,Outdoor Education Centre
167101,DAW VALE,56,WEST CLIFF ROAD,,DAWLISH,DEVON,EX7  9DY,1313.00,295584.00,76551.00,Dawlish CP,TEIGNBRIDGE,Older People & Physical Disability,Freehold,Home for older persons
167401,TRACEY VALE,,TRACEY VALE,BOVEY TRACEY,NEWTON ABBOT,DEVON,TQ13 9EA,1376.00,281093.00,77723.00,Bovey Tracey CP,TEIGNBRIDGE,Older People & Physical Disability,Freehold,Home for older persons
170501,EXMOUTH TOWN HALL,,ST ANDREWS ROAD,,EXMOUTH,DEVON,EX8  1AW,600.00,300019.00,80811.00,,EAST DEVON,Finance & Business Support,Leasehold,Offices
171101,BROAD LANE OFFICES,,BROAD LANE,WESTEXE SOUTH,TIVERTON,DEVON,EX16 5HE,141.00,295018.00,112272.00,Tiverton CP,MID DEVON,Education Administration,Freehold but entirely leased off by others,Offices
171201,CREDITON FORDTON SALT DEPOT,,FORDTON TRADING ESTATE,FORDTON,CREDITON,DEVON,EX17 3BZ,681.00,283951.00,99408.00,Crediton CP,MID DEVON,Highway Management,Freehold,Highways and bridges depot
171301,LYDIATE LODGE,,ROCK LODGE PARK,,LYNTON,DEVON,EX35 6DN,779.00,271478.00,149256.00,Lynton and Lynmouth CP,NORTH DEVON,Older People & Physical Disability,Freehold,Home for older persons
180001,BICKINGTON REDUNDANT LANDFILL SITE,,OLD BIDEFORD ROAD,BICKINGTON,BARNSTAPLE,DEVON,EX31 2ND,,252619.00,131868.00,Fremington CP,NORTH DEVON,"Waste, Engineering & Transport",Freehold,Waste disposal facility
180201,DEEP MOOR TIP,,HIGH BULLEN,ST GILES IN THE WOOD,TORRINGTON,DEVON,EX38 7LB,,252979.00,120803.00,,TORRIDGE,"Waste, Engineering & Transport",Memo of Arrangement / User Agreement,Waste disposal facility
180301,ANVIL CORNER RECYCLING CENTRE,,,,HOLSWORTHY,DEVON,EX22 6NR,0,237824.00,104008.00,Hollacombe CP,TORRIDGE,"Waste, Engineering & Transport",Freehold,Waste disposal facility
180401,BICKLEY BALL REDUNDANT LANDFILL SITE,,,KINGSTEIGNTON,NEWTON ABBOT,DEVON,TQ12 3DZ,,288385.00,73852.00,Kingsteignton CP,TEIGNBRIDGE,"Waste, Engineering & Transport",Freehold,Waste disposal facility
180501,MOLESCOMBE REDUNDANT LANDFILL SITE,,FROGMORE,CHILLINGTON,KINGSBRIDGE,DEVON,TQ7  2LH,,278210.00,42121.00,,SOUTH HAMS,"Waste, Engineering & Transport",Freehold,Waste disposal facility
180601,PUNCH BOWL REDUNDANT LANDFILL SITE,,,COLEBROOK,CREDITON,DEVON,EX17 5BP,,279334.00,100605.00,Crediton Hamlets CP,MID DEVON,"Waste, Engineering & Transport",Freehold,Waste disposal facility
180701,ASHLEY RECYCLING CENTRE,,EXETER ROAD,,TIVERTON,DEVON,EX16 5PD,0,294794.00,109682.00,Tiverton CP,MID DEVON,"Waste, Engineering & Transport",Leasehold,Waste disposal facility
180901,TOLCIS REDUNDANT LANDFILL SITE,,,MEMBURY,AXMINSTER,DEVON,EX13 7JF,,327996.00,100933.00,Axminster CP,EAST DEVON,"Waste, Engineering & Transport",Leasehold,Waysoil and inert waste tip
181001,SALTERTON ROAD REFUSE TIP,,SALTERTON ROAD,,EXMOUTH,DEVON,EX8  2NS,,302252.00,82051.00,Exmouth CP,EAST DEVON,"Waste, Engineering & Transport",Freehold,Waste disposal facility
181201,CROWNDALE REDUNDANT LANDFILL SITE,,CROWNDALE ROAD,GULWORTHY,TAVISTOCK,DEVON,PL19 8JR,,247099.00,72212.00,Tavistock CP,WEST DEVON,"Waste, Engineering & Transport",Freehold,Waste disposal facility
181601,EXMOUTH YOUNG PEOPLES CENTRE,61,IMPERIAL ROAD,,EXMOUTH,DEVON,EX8  1AX,340.00,299927.00,80791.00,Exmouth CP,EAST DEVON,Youth services,Freehold,Integrated Youth Support Centre
181901,BARRINGTON STREET LEARNING CENTRE,47A,BARRINGTON STREET,,TIVERTON,DEVON,EX16 6QP,296.00,295706.00,112746.00,,MID DEVON,Education Schools,Trust Agreement,Pupil Referral Unit
182101,ELLEN TINKHAM SCHOOL,,HOLLOW LANE,,EXETER,DEVON,EX1  3RW,3117.40,296156.00,93409.00,Exeter,EXETER,Education Schools,Trust School,Special school
182301,SOUTHBROOK SCHOOL,,BISHOP WESTALL ROAD,,EXETER,DEVON,EX2  6JB,1904.00,294324.00,90714.00,Exeter,EXETER,Education Schools,Trust School,Special school
182601,MILL WATER SCHOOL,,HONITON BOTTOM ROAD,LITTLETOWN,HONITON,DEVON,EX14 2ER,1601.60,316179.00,99709.00,Honiton CP,EAST DEVON,Education Schools,Trust School,Special school
182801,THE 100 CLUB-Freehold Site,,WEAR BARTON ROAD,COUNTESS WEAR,EXETER,DEVON,EX2  7EH,549.00,294808.00,89505.00,,EXETER,Youth services,Mixed Tenure,Integrated Youth Support Centre
183201,TIVERTON INTEGRATED YOUTH CENTRE,,PARK HILL,BOLHAM ROAD,TIVERTON,DEVON,EX16 6SG,660.00,295453.00,113240.00,Tiverton CP,MID DEVON,Youth services,Freehold,Integrated Youth Support Centre
183301,OAKLANDS PARK SCHOOL,,JOHN NASH DRIVE,,DAWLISH,DEVON,EX7  9SF,2310.00,295251.00,76003.00,Dawlish CP,TEIGNBRIDGE,Education Schools,Trust School,Special school
187401,PATHFIELD SCHOOL,,ABBEY ROAD,PILTON,BARNSTAPLE,DEVON,EX31 1JU,3050.60,255400.00,133972.00,Barnstaple CP,NORTH DEVON,Education Schools,Trust School,Special school
187402,PATHFIELD SCHOOL 'FOREST CLASSROOM',,BRAUNTON ROAD,,BARNSTAPLE,DEVON,EX31 1GG,0,255400.00,133800.00,Barnstaple CP,NORTH DEVON,Education Schools,Trust School,Allotments and gardens
187501,BARLEY LANE SCHOOL,,BARLEY LANE,ST THOMAS,EXETER,DEVON,EX4  1TA,1426.00,289916.00,91616.00,Exeter,EXETER,Education Schools,Trust School,Special school
188201,PLYMOUTH DERRIFORD HOSPITAL UNIT,,BREST ROAD,DERRIFORD,PLYMOUTH,DEVON,PL6 5YE,0,249929.00,59559.00,,SOUTH HAMS,Finance & Business Support,Memo of Arrangement / User Agreement,Hospital and prison office
188601,BIDWELL BROOK SCHOOL,,SHINNERS BRIDGE,DARTINGTON,TOTNES,DEVON,TQ9  6JU,2572.90,278515.00,62309.00,Dartington CP,SOUTH HAMS,Education Schools,Trust School,Special school
188701,RATCLIFFE SCHOOL,,JOHN NASH DRIVE,,DAWLISH,DEVON,EX7  9RZ,3705.00,295209.00,75828.00,Dawlish CP,TEIGNBRIDGE,Education Schools,Trust School,Special school
197101,FORMER NEWTON ABBOT TRADING STANDARDS OFFICE (DEVON SQUARE),21,DEVON SQUARE,,NEWTON ABBOT,DEVON,TQ12 2HR,245.00,286396.00,71140.00,Newton Abbot CP,TEIGNBRIDGE,Trading Standards & Consumer Protection,Freehold,Offices
197801,HM PRISON CHANNINGS WOOD OFFICE,,,DENBURY,NEWTON ABBOT,DEVON,TQ12 6DW,0,282726.00,69322.00,,TEIGNBRIDGE,Finance & Business Support,Memo of Arrangement / User Agreement,Hospital and prison office
197901,HM PRISON DARTMOOR OFFICE,,,YELVERTON,PRINCETOWN,DEVON,PL20 6RR,0,258670.00,74109.00,,WEST DEVON,Finance & Business Support,Memo of Arrangement / User Agreement,Hospital and prison office
198001,HM PRISON EXETER OFFICE,,NEW NORTH ROAD,,EXETER,DEVON,EX4  4EX,0,291968.00,93167.00,,EXETER,Finance & Business Support,Memo of Arrangement / User Agreement,Hospital and prison office
198801,FORMER THE GABLES,,,WILLAND,CULLOMPTON,DEVON,EX15 2PL,1055.00,303494.00,110753.00,,MID DEVON,Education Administration,Freehold,Surplus property / land
199001,AXMINSTER YOUTH CENTRE,,LYME ROAD,,AXMINSTER,DEVON,EX13 5AZ,671.80,330063.00,98455.00,Axminster CP,EAST DEVON,Youth services,Freehold,Integrated Youth Support Centre
199201,HAVEN BANKS OUTDOOR EDUCATION CENTRE,61,HAVEN ROAD,,EXETER,DEVON,EX2  8DP,659.00,292100.00,91859.00,Exeter,EXETER,Youth services,Leasehold,Outdoor Education Centre
199202,EXETER HAVEN BANKS OUTDOOR EDUCATION CENTRE (NEW SITE),,HAVEN ROAD,,EXETER,DEVON,EX2 8GR,0,292169.00,91867.00,Exeter,EXETER,Youth services,Leasehold,Proposed new property
199301,FORMER THE LOFT CLUB,,TIN LANE,ST THOMAS,EXETER,DEVON,EX2  9BH,219.00,291161.00,91722.00,Exeter,EXETER,Youth services,Freehold,Integrated Youth Support Centre
199401,FORMER FOUNTAIN YOUTH CENTRE,,ST JAMES ROAD,,EXETER,DEVON,EX4  6PU,95.00,292793.00,93371.00,Exeter,EXETER,Youth services,Freehold but entirely leased off by others,Integrated Youth Support Centre
199801,FORMER SEATON ST CLARES ADULT EDUCATION CENTRE,,FORE STREET,,SEATON,DEVON,EX12 2AN,648.90,324508.00,90378.00,Seaton CP,EAST DEVON,Adult & Community Learning,Freehold,Adult and Community Learning Centre
200301,DAINTON DEPOT,,DAINTON BRIDGE,DAINTON,NEWTON ABBOT,DEVON,TQ12 5TZ,0,285410.00,66608.00,Ipplepen CP,TEIGNBRIDGE,Highway Management,Freehold,Depot / storage block
200501,DALLACOMBE REDUNDANT WAYSOIL SITE,,,BLACKAWTON,TOTNES,DEVON,TQ9  7AE,,280728.00,49623.00,,SOUTH HAMS,"Waste, Engineering & Transport",Licence,Waysoil and inert waste tip
200801,TWO MOORS CHILDRENS CENTRE,,COWLEYMOOR ROAD,,TIVERTON,DEVON,EX16 6HH,99.00,296138.00,113317.00,,MID DEVON,Childrens Services,Freehold but entirely leased off by others,Childrens Centre
200901,TIVERTON CHILDRENS CENTRE,,LAZENBY ROAD,WILCOMBE,TIVERTON,DEVON,EX16 4AL,162.00,296809.00,112416.00,,MID DEVON,Childrens Services,Freehold but entirely leased off by others,Childrens Centre
201001,LITTLETOWN CHILDRENS CENTRE,,HONITON BOTTOM ROAD,,HONITON,DEVON,EX14 2EP,189.60,316139.00,99859.00,Honiton CP,EAST DEVON,Childrens Services,Freehold but entirely leased off by others,Childrens Centre
201101,HONITON CLAPPER LANE CHILDRENS CENTRE,,CLAPPER LANE,,HONITON,DEVON,EX14 1QF,106.00,316359.00,100920.00,Honiton CP,EAST DEVON,Childrens Services,Freehold but entirely leased off by others,Childrens Centre
201201,EXMOUTH EXETER ROAD CHILDRENS CENTRE,,EXETER ROAD,,EXMOUTH,DEVON,EX8  1PU,114.00,300203.00,81221.00,Exmouth CP,EAST DEVON,Childrens Services,Freehold but entirely leased off by others,Childrens Centre
201301,CREDITON NEWCOMBES CHILDRENS CENTRE,,,,CREDITON,DEVON,EX17 2AN,181.00,283552.00,100554.00,Crediton CP,MID DEVON,Childrens Services,Freehold but entirely leased off by others,Childrens Centre
201401,WESTCLIFF SURE START CHILDRENS CENTRE,,FIRST AVENUE,,DAWLISH,DEVON,EX7  9RA,211.00,295393.00,76467.00,Dawlish CP,TEIGNBRIDGE,Childrens Services,Freehold but entirely leased off by others,Childrens Centre
201501,DARTMOUTH CHILDRENS CENTRE,,MILTON LANE,,DARTMOUTH,DEVON,TQ6  9HW,535.70,286557.00,50867.00,Dartmouth CP,SOUTH HAMS,Childrens Services,Freehold but entirely leased off by others,Childrens Centre
201601,COMBE MARTIN SURE START CHILDRENS CENTRE,,HANGMAN PATH,COMBE MARTIN,ILFRACOMBE,DEVON,EX34 0DF,171.10,257941.00,147181.00,Combe Martin CP,NORTH DEVON,Childrens Services,Freehold but entirely leased off by others,Childrens Centre
201701,NEWTON ABBOT CHILDRENS CENTRE,,CORONATION ROAD,,NEWTON ABBOT,DEVON,TQ12 1TX,292.00,285510.00,71413.00,,TEIGNBRIDGE,Childrens Services,Freehold but entirely leased off by others,Childrens Centre
202901,TOTNES ADULT & COMMUNITY LEARNING,36,FORE STREET,,TOTNES,DEVON,TQ9  5RP,1935.90,280417.00,60323.00,Totnes CP,SOUTH HAMS,Adult & Community Learning,Trust Agreement,Adult and Community Learning Centre
202901,TOTNES ADULT & COMMUNITY LEARNING,36,FORE STREET,,TOTNES,DEVON,TQ9  5RP,1935.90,280417.00,60323.00,Totnes CP,SOUTH HAMS,Adult & Community Learning,Trust Agreement,Adult and Community Learning Centre
203001,TRESILLIAN,112,FORE STREET,,KINGSBRIDGE,DEVON,TQ7  1AW,682.00,273372.00,44573.00,Kingsbridge CP,SOUTH HAMS,Childrens Services,Freehold,Nursery school
205201,LAND AT LOWER FORE STREET EXMOUTH,,UNION STREET,,EXMOUTH,DEVON,EX8  1JA,,300232.00,80953.00,,EAST DEVON,Highway Management,Freehold,Surplus 5 years
210001,HAZELBANK,,,ALLER CROSS,KINGSKERSWELL,DEVON,TQ12 5BU,,287381.00,68828.00,Kingskerswell CP,TEIGNBRIDGE,Highway Management,Freehold,Held for future development
210301,WELLAND HOUSE,76,CHADDIFORD LANE,,BARNSTAPLE,DEVON,EX31 1RF,635.00,255173.00,134168.00,Barnstaple CP,NORTH DEVON,Childrens Services,Freehold,Special care unit
210901,HOLSWORTHY YOUTH CENTRE,,SANDERS LANE,,HOLSWORTHY,DEVON,EX22 6HE,224.00,234306.00,104167.00,Holsworthy CP,TORRIDGE,Youth services,Freehold,Integrated Youth Support Centre
211801,ILFRACOMBE CHILDRENS CENTRE,,MARLBOROUGH ROAD,,ILFRACOMBE,DEVON,EX34 8JL,573.60,251800.00,147276.00,Ilfracombe CP,NORTH DEVON,Sure Start / NCH,Freehold but entirely leased off by others,Childrens Centre
212301,FORMER WINKLEIGH PRE SCHOOL,,CASTLE STREET,,WINKLEIGH,DEVON,EX19 8HU,0,263107.00,108028.00,Winkleigh CP,TORRIDGE,Surplus property / land,Freehold,Surplus 12 months
215201,ELMSLEIGH AND ASSOCIATED LAND,,OLD NEWTON ROAD,ALLER,KINGSKERSWELL,DEVON,TQ12 5AN,,287343.00,68638.00,Kingskerswell CP,TEIGNBRIDGE,Highway Management,Freehold,Held for future development
215301,THE COTT,8,YON STREET,,KINGSKERSWELL,DEVON,TQ12 5DU,0,287666.00,67299.00,Kingskerswell CP,TEIGNBRIDGE,Highway Management,Freehold,Held for future development
226701,1-4 IRONBRIDGE CELLARS,,IRON BRIDGE,,EXETER,DEVON,EX4  3RB,0,291664.00,92786.00,Exeter,EXETER,Highway Management,Freehold,Depot / storage block
231801,FORMER KINGSTEIGNTON COMMUNITY RESOURCE CENTRE,,VICARAGE HILL,GREENHILL ROAD,KINGSTEIGNTON,DEVON,TQ12 3BD,1366.00,287396.00,72845.00,Kingsteignton CP,TEIGNBRIDGE,Learning Disability,Freehold,Community Resource centre
